<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230301,024300,23153.7900000,23157.1600000,23136.7700000,23140.0800000,4
GDAX.BTC-USD,1,20230301,024400,23138.7500000,23145.4100000,23131.5800000,23136.2800000,6
GDAX.BTC-USD,1,20230301,024500,23137.6000000,23142.9100000,23133.8400000,23139.8200000,3
GDAX.BTC-USD,1,20230301,024600,23139.8100000,23139.8200000,23133.4300000,23136.2400000,2
GDAX.BTC-USD,1,20230301,024700,23137.1500000,23163.1700000,23135.9200000,23161.2900000,2
GDAX.BTC-USD,1,20230301,024800,23161.9900000,23162.5900000,23146.6200000,23150.0100000,9
GDAX.BTC-USD,1,20230301,024900,23150.0100000,23156.5100000,23135.7200000,23138.4700000,8
GDAX.BTC-USD,1,20230301,025000,23138.0600000,23140.6000000,23135.2800000,23138.7800000,3
GDAX.BTC-USD,1,20230301,025100,23140.0500000,23151.9200000,23138.1800000,23151.8000000,8
GDAX.BTC-USD,1,20230301,025200,23151.0000000,23159.7400000,23147.3100000,23155.9200000,4
GDAX.BTC-USD,1,20230301,025300,23156.1800000,23164.0100000,23145.0100000,23149.0200000,3
GDAX.BTC-USD,1,20230301,025400,23149.0200000,23156.3100000,23145.2900000,23146.5500000,1
GDAX.BTC-USD,1,20230301,025500,23146.5500000,23146.5500000,23119.9900000,23127.7300000,10
GDAX.BTC-USD,1,20230301,025600,23127.4400000,23127.4400000,23116.8200000,23120.2200000,10
GDAX.BTC-USD,1,20230301,025700,23119.0100000,23124.8300000,23117.5000000,23121.9700000,8
GDAX.BTC-USD,1,20230301,025800,23121.9700000,23137.5000000,23120.0000000,23121.9700000,19
GDAX.BTC-USD,1,20230301,025900,23121.9700000,23130.6600000,23121.8800000,23124.5500000,3
GDAX.BTC-USD,1,20230301,030000,23124.5600000,23145.3200000,23124.5500000,23145.3200000,5
GDAX.BTC-USD,1,20230301,030100,23144.3700000,23153.6800000,23134.3100000,23146.9300000,7
GDAX.BTC-USD,1,20230301,030200,23146.7700000,23151.1600000,23142.5100000,23143.4300000,5
GDAX.BTC-USD,1,20230301,030300,23143.6700000,23161.5600000,23143.0000000,23159.6700000,7
GDAX.BTC-USD,1,20230301,030400,23159.6700000,23164.9900000,23158.5100000,23162.1400000,3
GDAX.BTC-USD,1,20230301,030500,23162.1500000,23180.4600000,23162.1500000,23180.0000000,5
GDAX.BTC-USD,1,20230301,030600,23180.0100000,23183.4200000,23172.8700000,23176.1200000,11
GDAX.BTC-USD,1,20230301,030700,23175.5700000,23176.0500000,23156.3700000,23156.7300000,1
GDAX.BTC-USD,1,20230301,030800,23156.7200000,23156.7400000,23139.8600000,23139.8700000,2
GDAX.BTC-USD,1,20230301,030900,23139.8700000,23156.3300000,23139.8600000,23144.4000000,4
GDAX.BTC-USD,1,20230301,031000,23144.4000000,23144.4000000,23124.0100000,23125.0100000,7
GDAX.BTC-USD,1,20230301,031100,23125.0100000,23139.3100000,23123.2100000,23128.1900000,6
GDAX.BTC-USD,1,20230301,031200,23128.2000000,23138.2400000,23118.5800000,23138.2400000,4
GDAX.BTC-USD,1,20230301,031300,23138.0100000,23167.2600000,23138.0100000,23164.0100000,2
GDAX.BTC-USD,1,20230301,031400,23164.0100000,23172.2700000,23161.3300000,23169.0100000,3
GDAX.BTC-USD,1,20230301,031500,23169.0000000,23169.0100000,23156.2200000,23163.4700000,3
GDAX.BTC-USD,1,20230301,031600,23164.6000000,23177.5900000,23164.2200000,23166.1900000,7
GDAX.BTC-USD,1,20230301,031700,23167.7500000,23173.6900000,23161.4700000,23172.5100000,4
GDAX.BTC-USD,1,20230301,031800,23174.9900000,23185.9300000,23174.3100000,23181.4600000,3
GDAX.BTC-USD,1,20230301,031900,23179.8000000,23181.4900000,23171.6700000,23180.5500000,2
GDAX.BTC-USD,1,20230301,032000,23180.5500000,23187.6200000,23178.9400000,23187.5000000,2
GDAX.BTC-USD,1,20230301,032100,23187.4700000,23188.2400000,23175.6500000,23188.0400000,10
GDAX.BTC-USD,1,20230301,032200,23188.2500000,23198.1500000,23188.0900000,23198.1500000,2
GDAX.BTC-USD,1,20230301,032300,23198.1500000,23221.8700000,23198.1300000,23200.6800000,23
GDAX.BTC-USD,1,20230301,032400,23200.0600000,23202.9800000,23190.9500000,23190.9900000,2
GDAX.BTC-USD,1,20230301,032500,23190.9800000,23214.8800000,23189.5300000,23207.2900000,16
GDAX.BTC-USD,1,20230301,032600,23207.0100000,23209.5900000,23189.0100000,23189.0100000,3
GDAX.BTC-USD,1,20230301,032700,23189.0100000,23206.9600000,23189.0100000,23199.9000000,9
GDAX.BTC-USD,1,20230301,032800,23199.1200000,23200.5400000,23191.0000000,23194.1800000,4
GDAX.BTC-USD,1,20230301,032900,23194.1700000,23194.4200000,23181.3800000,23181.4800000,4
GDAX.BTC-USD,1,20230301,033000,23181.7600000,23185.5900000,23170.1900000,23175.0100000,2
GDAX.BTC-USD,1,20230301,033100,23175.2000000,23186.7400000,23168.9800000,23186.7400000,16
GDAX.BTC-USD,1,20230301,033200,23186.6300000,23199.3000000,23184.0100000,23196.5400000,4
GDAX.BTC-USD,1,20230301,033300,23196.0300000,23219.5600000,23195.0000000,23203.3300000,7
GDAX.BTC-USD,1,20230301,033400,23203.3300000,23216.2200000,23203.3300000,23204.1600000,2
GDAX.BTC-USD,1,20230301,033500,23204.0600000,23204.7800000,23195.6700000,23203.2500000,2
GDAX.BTC-USD,1,20230301,033600,23202.4900000,23209.2000000,23196.0100000,23197.8400000,3
GDAX.BTC-USD,1,20230301,033700,23197.8300000,23201.2000000,23181.9400000,23188.4400000,4
GDAX.BTC-USD,1,20230301,033800,23188.3300000,23199.9500000,23183.5200000,23196.2600000,5
GDAX.BTC-USD,1,20230301,033900,23196.3100000,23203.8800000,23194.8200000,23200.7200000,2
GDAX.BTC-USD,1,20230301,034000,23200.0100000,23200.3900000,23183.9600000,23191.3300000,1
GDAX.BTC-USD,1,20230301,034100,23191.0000000,23191.0100000,23182.1700000,23184.4000000,3
GDAX.BTC-USD,1,20230301,034200,23183.6500000,23184.8400000,23180.3800000,23182.0100000,1
GDAX.BTC-USD,1,20230301,034300,23182.0100000,23196.1000000,23182.0100000,23196.0200000,4
GDAX.BTC-USD,1,20230301,034400,23195.5900000,23196.8300000,23158.1700000,23158.1700000,9
GDAX.BTC-USD,1,20230301,034500,23158.0000000,23163.3900000,23145.0000000,23147.6500000,13
GDAX.BTC-USD,1,20230301,034600,23149.4400000,23151.2800000,23137.8000000,23149.1300000,7
GDAX.BTC-USD,1,20230301,034700,23150.1200000,23151.3500000,23137.1300000,23139.9800000,5
GDAX.BTC-USD,1,20230301,034800,23139.9700000,23144.3400000,23129.3300000,23133.0100000,4
GDAX.BTC-USD,1,20230301,034900,23133.0000000,23133.0000000,23118.0000000,23122.6300000,2
GDAX.BTC-USD,1,20230301,035000,23123.7100000,23124.7400000,23092.0200000,23094.4000000,21
GDAX.BTC-USD,1,20230301,035100,23094.4300000,23100.8100000,23056.6900000,23068.0400000,8
GDAX.BTC-USD,1,20230301,035200,23065.0400000,23093.5100000,23059.5300000,23061.5700000,12
GDAX.BTC-USD,1,20230301,035300,23059.0000000,23071.4900000,23050.0400000,23064.2600000,11
GDAX.BTC-USD,1,20230301,035400,23065.3300000,23074.7700000,23026.9200000,23041.6700000,35
GDAX.BTC-USD,1,20230301,035500,23041.6800000,23055.5900000,23032.2100000,23032.2100000,7
GDAX.BTC-USD,1,20230301,035600,23032.2200000,23048.0100000,23025.1700000,23039.9100000,13
GDAX.BTC-USD,1,20230301,035700,23036.2400000,23066.8200000,23030.6700000,23066.8200000,11
GDAX.BTC-USD,1,20230301,035800,23066.8200000,23110.3200000,23064.0000000,23105.7300000,19
GDAX.BTC-USD,1,20230301,035900,23107.0800000,23116.3700000,23086.2900000,23098.0000000,10
GDAX.BTC-USD,1,20230301,040000,23097.0100000,23106.1200000,23085.0400000,23103.3100000,6
GDAX.BTC-USD,1,20230301,040100,23103.3000000,23105.6000000,23077.0000000,23079.7300000,8
GDAX.BTC-USD,1,20230301,040200,23079.0300000,23122.2600000,23079.0000000,23118.3200000,7
GDAX.BTC-USD,1,20230301,040300,23116.3100000,23124.2300000,23113.0000000,23119.2500000,1
GDAX.BTC-USD,1,20230301,040400,23117.3100000,23123.5300000,23105.0000000,23121.6800000,8
GDAX.BTC-USD,1,20230301,040500,23121.8700000,23122.0100000,23107.8900000,23113.0100000,3
GDAX.BTC-USD,1,20230301,040600,23113.0000000,23122.0100000,23098.4000000,23122.0100000,8
GDAX.BTC-USD,1,20230301,040700,23121.3200000,23122.7800000,23116.2600000,23120.5100000,2
